cluster,dimension,min_samples,min_cluster_size,epsilon,total_groups,outliers,score,group_result
#6,10,2,14,0.0,10,58,0.6467946275221795,"[{'cluster_no': 0, 'count': 19}, {'cluster_no': 5, 'count': 20}, {'cluster_no': 7, 'count': 20}, {'cluster_no': 8, 'count': 24}, {'cluster_no': 6, 'count': 25}, {'cluster_no': 1, 'count': 36}, {'cluster_no': 2, 'count': 39}, {'cluster_no': 4, 'count': 41}, {'cluster_no': 3, 'count': 43}, {'cluster_no': -1, 'count': 58}]"
#6,10,2,15,0.0,10,58,0.6467946275221795,"[{'cluster_no': 0, 'count': 19}, {'cluster_no': 5, 'count': 20}, {'cluster_no': 7, 'count': 20}, {'cluster_no': 8, 'count': 24}, {'cluster_no': 6, 'count': 25}, {'cluster_no': 1, 'count': 36}, {'cluster_no': 2, 'count': 39}, {'cluster_no': 4, 'count': 41}, {'cluster_no': 3, 'count': 43}, {'cluster_no': -1, 'count': 58}]"
#6,10,3,5,0.0,28,48,0.8199809713023803,"[{'cluster_no': 3, 'count': 5}, {'cluster_no': 10, 'count': 5}, {'cluster_no': 15, 'count': 5}, {'cluster_no': 20, 'count': 5}, {'cluster_no': 5, 'count': 6}, {'cluster_no': 7, 'count': 6}, {'cluster_no': 22, 'count': 6}, {'cluster_no': 26, 'count': 6}, {'cluster_no': 14, 'count': 7}, {'cluster_no': 23, 'count': 7}, {'cluster_no': 4, 'count': 8}, {'cluster_no': 16, 'count': 8}, {'cluster_no': 17, 'count': 8}, {'cluster_no': 25, 'count': 8}, {'cluster_no': 1, 'count': 9}, {'cluster_no': 9, 'count': 9}, {'cluster_no': 2, 'count': 10}, {'cluster_no': 6, 'count': 10}, {'cluster_no': 13, 'count': 10}, {'cluster_no': 0, 'count': 11}, {'cluster_no': 12, 'count': 11}, {'cluster_no': 24, 'count': 12}, {'cluster_no': 21, 'count': 14}, {'cluster_no': 11, 'count': 19}, {'cluster_no': 19, 'count': 20}, {'cluster_no': 8, 'count': 26}, {'cluster_no': 18, 'count': 26}, {'cluster_no': -1, 'count': 48}]"
#6,10,3,6,0.0,23,52,0.8153644296277036,"[{'cluster_no': 4, 'count': 6}, {'cluster_no': 6, 'count': 6}, {'cluster_no': 19, 'count': 6}, {'cluster_no': 20, 'count': 7}, {'cluster_no': 3, 'count': 8}, {'cluster_no': 14, 'count': 8}, {'cluster_no': 15, 'count': 8}, {'cluster_no': 1, 'count': 9}, {'cluster_no': 8, 'count': 9}, {'cluster_no': 2, 'count': 10}, {'cluster_no': 5, 'count': 10}, {'cluster_no': 12, 'count': 10}, {'cluster_no': 0, 'count': 11}, {'cluster_no': 10, 'count': 11}, {'cluster_no': 11, 'count': 12}, {'cluster_no': 21, 'count': 12}, {'cluster_no': 18, 'count': 14}, {'cluster_no': 9, 'count': 19}, {'cluster_no': 17, 'count': 20}, {'cluster_no': 13, 'count': 25}, {'cluster_no': 7, 'count': 26}, {'cluster_no': 16, 'count': 26}, {'cluster_no': -1, 'count': 52}]"
#6,10,3,7,0.0,19,52,0.732322824022085,"[{'cluster_no': 16, 'count': 7}, {'cluster_no': 4, 'count': 8}, {'cluster_no': 1, 'count': 9}, {'cluster_no': 7, 'count': 9}, {'cluster_no': 2, 'count': 10}, {'cluster_no': 5, 'count': 10}, {'cluster_no': 11, 'count': 10}, {'cluster_no': 0, 'count': 11}, {'cluster_no': 9, 'count': 11}, {'cluster_no': 10, 'count': 12}, {'cluster_no': 17, 'count': 12}, {'cluster_no': 8, 'count': 19}, {'cluster_no': 14, 'count': 20}, {'cluster_no': 15, 'count': 20}, {'cluster_no': 12, 'count': 25}, {'cluster_no': 6, 'count': 26}, {'cluster_no': 13, 'count': 26}, {'cluster_no': 3, 'count': 28}, {'cluster_no': -1, 'count': 52}]"
#6,10,3,8,0.0,18,47,0.7206998674310372,"[{'cluster_no': 4, 'count': 8}, {'cluster_no': 1, 'count': 9}, {'cluster_no': 7, 'count': 9}, {'cluster_no': 2, 'count': 10}, {'cluster_no': 5, 'count': 10}, {'cluster_no': 11, 'count': 10}, {'cluster_no': 0, 'count': 11}, {'cluster_no': 9, 'count': 11}, {'cluster_no': 10, 'count': 12}, {'cluster_no': 8, 'count': 19}, {'cluster_no': 14, 'count': 20}, {'cluster_no': 15, 'count': 20}, {'cluster_no': 16, 'count': 24}, {'cluster_no': 12, 'count': 25}, {'cluster_no': 6, 'count': 26}, {'cluster_no': 13, 'count': 26}, {'cluster_no': 3, 'count': 28}, {'cluster_no': -1, 'count': 47}]"
#6,10,3,9,0.0,15,44,0.7308444255466354,"[{'cluster_no': 1, 'count': 9}, {'cluster_no': 6, 'count': 9}, {'cluster_no': 2, 'count': 10}, {'cluster_no': 8, 'count': 10}, {'cluster_no': 0, 'count': 11}, {'cluster_no': 7, 'count': 12}, {'cluster_no': 11, 'count': 20}, {'cluster_no': 12, 'count': 20}, {'cluster_no': 13, 'count': 24}, {'cluster_no': 9, 'count': 25}, {'cluster_no': 5, 'count': 26}, {'cluster_no': 10, 'count': 26}, {'cluster_no': 3, 'count': 36}, {'cluster_no': 4, 'count': 43}, {'cluster_no': -1, 'count': 44}]"
#6,10,3,10,0.0,13,41,0.7178481287040288,"[{'cluster_no': 6, 'count': 10}, {'cluster_no': 0, 'count': 11}, {'cluster_no': 5, 'count': 12}, {'cluster_no': 1, 'count': 19}, {'cluster_no': 9, 'count': 20}, {'cluster_no': 10, 'count': 20}, {'cluster_no': 11, 'count': 24}, {'cluster_no': 7, 'count': 25}, {'cluster_no': 8, 'count': 26}, {'cluster_no': 2, 'count': 36}, {'cluster_no': 3, 'count': 38}, {'cluster_no': -1, 'count': 41}, {'cluster_no': 4, 'count': 43}]"
#6,10,3,11,0.0,12,51,0.7127526782015536,"[{'cluster_no': 0, 'count': 11}, {'cluster_no': 5, 'count': 12}, {'cluster_no': 1, 'count': 19}, {'cluster_no': 8, 'count': 20}, {'cluster_no': 9, 'count': 20}, {'cluster_no': 10, 'count': 24}, {'cluster_no': 6, 'count': 25}, {'cluster_no': 7, 'count': 26}, {'cluster_no': 2, 'count': 36}, {'cluster_no': 3, 'count': 38}, {'cluster_no': 4, 'count': 43}, {'cluster_no': -1, 'count': 51}]"
#6,10,3,12,0.0,11,62,0.7011484448893607,"[{'cluster_no': 4, 'count': 12}, {'cluster_no': 0, 'count': 19}, {'cluster_no': 7, 'count': 20}, {'cluster_no': 8, 'count': 20}, {'cluster_no': 9, 'count': 24}, {'cluster_no': 5, 'count': 25}, {'cluster_no': 6, 'count': 26}, {'cluster_no': 1, 'count': 36}, {'cluster_no': 2, 'count': 38}, {'cluster_no': 3, 'count': 43}, {'cluster_no': -1, 'count': 62}]"
