HDBSCAN_Cluster,DocId,x,y
-1,564,10.69,2.24
-1,565,10.74,1.15
-1,566,8.14,2.76
-1,567,8.69,3.12
3,568,10.62,0.61
-1,569,9.65,4.72
-1,570,9.27,2.9
-1,571,10.59,3.77
0,572,11.05,3.77
-1,573,8.71,3.89
-1,574,7.96,3.92
3,575,10.36,0.91
2,576,10.07,3.08
-1,577,7.82,3.65
-1,578,7.98,2.89
-1,579,9.28,2.8
-1,580,11.43,2.4
5,581,8.86,4.58
5,582,9.45,4.89
-1,583,10.05,2.6
5,584,9.03,4.66
-1,585,7.86,3.71
-1,587,8.01,3.57
-1,588,9.84,2.94
5,589,9.47,4.65
-1,590,9.97,3.99
-1,591,7.52,4.09
-1,592,9.42,4.43
5,593,9.34,4.73
2,594,10.14,3.2
-1,595,9.82,3.13
-1,596,9.51,3.9
6,597,7.61,4.36
-1,598,11.0,2.85
-1,599,9.35,3.88
-1,600,7.72,4.58
