dimension,min_samples,min_cluster_size,epsilon,total_clusters,outliers,Silhouette_score,cluster_results
60,2,15,0.0,10,183,0.5159869678712053,"[{'cluster_no': 1, 'count': 21}, {'cluster_no': 4, 'count': 25}, {'cluster_no': 0, 'count': 26}, {'cluster_no': 5, 'count': 31}, {'cluster_no': 3, 'count': 34}, {'cluster_no': 2, 'count': 47}, {'cluster_no': 8, 'count': 47}, {'cluster_no': 6, 'count': 60}, {'cluster_no': 7, 'count': 110}, {'cluster_no': -1, 'count': 183}]"
60,3,5,0.0,25,225,0.602848759271912,"[{'cluster_no': 2, 'count': 5}, {'cluster_no': 13, 'count': 5}, {'cluster_no': 18, 'count': 5}, {'cluster_no': 21, 'count': 5}, {'cluster_no': 0, 'count': 6}, {'cluster_no': 8, 'count': 6}, {'cluster_no': 10, 'count': 6}, {'cluster_no': 17, 'count': 6}, {'cluster_no': 11, 'count': 7}, {'cluster_no': 4, 'count': 9}, {'cluster_no': 23, 'count': 9}, {'cluster_no': 12, 'count': 10}, {'cluster_no': 15, 'count': 10}, {'cluster_no': 1, 'count': 12}, {'cluster_no': 3, 'count': 13}, {'cluster_no': 7, 'count': 15}, {'cluster_no': 14, 'count': 18}, {'cluster_no': 22, 'count': 18}, {'cluster_no': 16, 'count': 19}, {'cluster_no': 6, 'count': 22}, {'cluster_no': 9, 'count': 27}, {'cluster_no': 5, 'count': 29}, {'cluster_no': 20, 'count': 44}, {'cluster_no': 19, 'count': 53}, {'cluster_no': -1, 'count': 225}]"
60,3,6,0.0,21,240,0.6311169660094124,"[{'cluster_no': 0, 'count': 6}, {'cluster_no': 7, 'count': 6}, {'cluster_no': 9, 'count': 6}, {'cluster_no': 15, 'count': 6}, {'cluster_no': 10, 'count': 7}, {'cluster_no': 3, 'count': 9}, {'cluster_no': 19, 'count': 9}, {'cluster_no': 13, 'count': 10}, {'cluster_no': 1, 'count': 12}, {'cluster_no': 2, 'count': 13}, {'cluster_no': 6, 'count': 15}, {'cluster_no': 11, 'count': 15}, {'cluster_no': 12, 'count': 18}, {'cluster_no': 18, 'count': 18}, {'cluster_no': 14, 'count': 19}, {'cluster_no': 5, 'count': 22}, {'cluster_no': 8, 'count': 27}, {'cluster_no': 4, 'count': 29}, {'cluster_no': 17, 'count': 44}, {'cluster_no': 16, 'count': 53}, {'cluster_no': -1, 'count': 240}]"
60,3,7,0.0,17,234,0.6596678666007577,"[{'cluster_no': 7, 'count': 7}, {'cluster_no': 4, 'count': 9}, {'cluster_no': 15, 'count': 9}, {'cluster_no': 10, 'count': 10}, {'cluster_no': 0, 'count': 12}, {'cluster_no': 2, 'count': 13}, {'cluster_no': 8, 'count': 15}, {'cluster_no': 9, 'count': 18}, {'cluster_no': 14, 'count': 18}, {'cluster_no': 11, 'count': 19}, {'cluster_no': 6, 'count': 22}, {'cluster_no': 3, 'count': 29}, {'cluster_no': 5, 'count': 29}, {'cluster_no': 1, 'count': 43}, {'cluster_no': 13, 'count': 44}, {'cluster_no': 12, 'count': 53}, {'cluster_no': -1, 'count': 234}]"
60,3,8,0.0,15,220,0.590913884259542,"[{'cluster_no': 4, 'count': 9}, {'cluster_no': 10, 'count': 10}, {'cluster_no': 0, 'count': 12}, {'cluster_no': 2, 'count': 13}, {'cluster_no': 7, 'count': 15}, {'cluster_no': 8, 'count': 18}, {'cluster_no': 11, 'count': 19}, {'cluster_no': 6, 'count': 22}, {'cluster_no': 3, 'count': 29}, {'cluster_no': 5, 'count': 29}, {'cluster_no': 1, 'count': 43}, {'cluster_no': 13, 'count': 44}, {'cluster_no': 9, 'count': 48}, {'cluster_no': 12, 'count': 53}, {'cluster_no': -1, 'count': 220}]"
60,3,9,0.0,15,220,0.590913884259542,"[{'cluster_no': 4, 'count': 9}, {'cluster_no': 10, 'count': 10}, {'cluster_no': 0, 'count': 12}, {'cluster_no': 2, 'count': 13}, {'cluster_no': 7, 'count': 15}, {'cluster_no': 8, 'count': 18}, {'cluster_no': 11, 'count': 19}, {'cluster_no': 6, 'count': 22}, {'cluster_no': 3, 'count': 29}, {'cluster_no': 5, 'count': 29}, {'cluster_no': 1, 'count': 43}, {'cluster_no': 13, 'count': 44}, {'cluster_no': 9, 'count': 48}, {'cluster_no': 12, 'count': 53}, {'cluster_no': -1, 'count': 220}]"
60,3,10,0.0,14,229,0.5900853125200937,"[{'cluster_no': 9, 'count': 10}, {'cluster_no': 0, 'count': 12}, {'cluster_no': 2, 'count': 13}, {'cluster_no': 6, 'count': 15}, {'cluster_no': 7, 'count': 18}, {'cluster_no': 10, 'count': 19}, {'cluster_no': 5, 'count': 22}, {'cluster_no': 3, 'count': 29}, {'cluster_no': 4, 'count': 29}, {'cluster_no': 1, 'count': 43}, {'cluster_no': 12, 'count': 44}, {'cluster_no': 8, 'count': 48}, {'cluster_no': 11, 'count': 53}, {'cluster_no': -1, 'count': 229}]"
60,3,11,0.0,13,229,0.5918532706594872,"[{'cluster_no': 0, 'count': 12}, {'cluster_no': 2, 'count': 13}, {'cluster_no': 6, 'count': 15}, {'cluster_no': 7, 'count': 18}, {'cluster_no': 5, 'count': 22}, {'cluster_no': 3, 'count': 29}, {'cluster_no': 4, 'count': 29}, {'cluster_no': 9, 'count': 29}, {'cluster_no': 1, 'count': 43}, {'cluster_no': 11, 'count': 44}, {'cluster_no': 8, 'count': 48}, {'cluster_no': 10, 'count': 53}, {'cluster_no': -1, 'count': 229}]"
60,3,12,0.0,13,229,0.5918532706594872,"[{'cluster_no': 0, 'count': 12}, {'cluster_no': 2, 'count': 13}, {'cluster_no': 6, 'count': 15}, {'cluster_no': 7, 'count': 18}, {'cluster_no': 5, 'count': 22}, {'cluster_no': 3, 'count': 29}, {'cluster_no': 4, 'count': 29}, {'cluster_no': 9, 'count': 29}, {'cluster_no': 1, 'count': 43}, {'cluster_no': 11, 'count': 44}, {'cluster_no': 8, 'count': 48}, {'cluster_no': 10, 'count': 53}, {'cluster_no': -1, 'count': 229}]"
60,3,13,0.0,12,241,0.6115151611128044,"[{'cluster_no': 1, 'count': 13}, {'cluster_no': 5, 'count': 15}, {'cluster_no': 6, 'count': 18}, {'cluster_no': 4, 'count': 22}, {'cluster_no': 2, 'count': 29}, {'cluster_no': 3, 'count': 29}, {'cluster_no': 8, 'count': 29}, {'cluster_no': 0, 'count': 43}, {'cluster_no': 10, 'count': 44}, {'cluster_no': 7, 'count': 48}, {'cluster_no': 9, 'count': 53}, {'cluster_no': -1, 'count': 241}]"
