n_neighbour,cluster,sse
20,108,32.52712631225586
20,109,33.10041046142578
20,110,32.81553268432617
20,111,32.36082077026367
20,112,31.636247634887695
20,113,32.10077667236328
20,114,31.08660125732422
20,115,30.77191162109375
20,116,30.809778213500977
20,117,30.860286712646484
20,118,30.11176300048828
20,119,30.247455596923828
20,120,29.663068771362305
20,121,28.97808837890625
20,122,29.504152297973633
20,123,28.744396209716797
20,124,28.68315887451172
20,125,28.778512954711914
20,126,27.879655838012695
20,127,28.121511459350586
20,128,27.411407470703125
20,129,27.189668655395508
20,130,26.783714294433594
20,131,26.829355239868164
20,132,26.756576538085938
20,133,26.67605209350586
20,134,26.027986526489258
20,135,25.64468765258789
20,136,25.822832107543945
20,137,25.58224105834961
20,138,25.441078186035156
20,139,25.327518463134766
20,140,24.49396514892578
20,141,24.649518966674805
20,142,24.143526077270508
20,143,24.291711807250977
20,144,24.164976119995117
20,145,23.850608825683594
20,146,23.58770179748535
20,147,23.564712524414062
20,148,23.254596710205078
20,149,22.753692626953125
50,1,1952.8427734375
50,2,1049.1292724609375
50,3,770.8864135742188
50,4,606.475341796875
50,5,484.21551513671875
50,6,404.51983642578125
50,7,344.57147216796875
50,8,297.8454284667969
50,9,266.37554931640625
50,10,247.84133911132812
50,11,233.38990783691406
50,12,219.50538635253906
50,13,209.10073852539062
50,14,196.0654296875
50,15,185.47509765625
50,16,176.78245544433594
50,17,169.384521484375
50,18,160.77996826171875
50,19,156.4231719970703
50,20,150.59225463867188
50,21,143.48037719726562
50,22,138.06936645507812
50,23,135.000244140625
50,24,131.22691345214844
50,25,124.64620971679688
50,26,122.42278289794922
50,27,120.66118621826172
50,28,115.63328552246094
50,29,111.55258178710938
50,30,109.06122589111328
50,31,106.18869018554688
50,32,104.4202880859375
50,33,101.73948669433594
50,34,96.6772232055664
50,35,94.65544128417969
50,36,95.22639465332031
50,37,91.51338195800781
50,38,88.60635375976562
50,39,87.95159912109375
50,40,87.2149658203125
50,41,83.75740814208984
50,42,81.68072509765625
50,43,78.77520751953125
50,44,78.10553741455078
50,45,77.30817413330078
50,46,74.6123046875
50,47,74.58203125
50,48,73.41030883789062
50,49,71.72561645507812
50,50,71.01721954345703
50,51,70.12779998779297
50,52,69.38465118408203
50,53,67.70597076416016
50,54,65.40056610107422
50,55,65.25690460205078
50,56,64.98235321044922
50,57,63.70281982421875
50,58,61.74370193481445
50,59,60.81739807128906
50,60,60.602081298828125
50,61,59.81125259399414
50,62,58.972320556640625
50,63,58.65989303588867
50,64,57.538787841796875
50,65,56.19097137451172
50,66,55.27802276611328
50,67,54.0755729675293
50,68,54.81155776977539
50,69,52.99699783325195
50,70,52.92009353637695
50,71,51.83802795410156
50,72,50.91154098510742
50,73,51.39600372314453
50,74,50.04084396362305
50,75,50.516178131103516
50,76,49.265785217285156
50,77,48.4096565246582
50,78,48.173988342285156
50,79,47.298423767089844
50,80,46.97494888305664
50,81,46.53010177612305
50,82,45.795475006103516
50,83,44.63301086425781
50,84,44.82252883911133
50,85,44.911563873291016
50,86,44.33356475830078
50,87,43.701454162597656
50,88,43.3715934753418
50,89,42.75801086425781
50,90,42.06084060668945
50,91,41.812782287597656
50,92,41.40974044799805
50,93,41.07315444946289
50,94,40.7984619140625
50,95,40.579586029052734
50,96,39.810081481933594
50,97,39.4588623046875
